manufacturer,code,name,start_date,end_date,manufacturer_description,tags,synonyms,coe,type,manufacturer_url,image_path,image_url,stock_type
GAF,G-257,Pale Steel Blue Casting Brick,,,Gaffer Pale Steel Blue Casting Brick,"""blue""",,96,billet,https://ebbatchcolor.com/Gaffer-Casting-Colors/G-257-Pale-Steel-Blue/,,,
GAF,G-258,Pale Lagoon Casting Brick,,,Gaffer Pale Lagoon Casting Brick,"""blue"", ""green""",,96,billet,https://ebbatchcolor.com/Gaffer-Casting-Colors/G-258-Pale-Lagoon/,,,
GAF,G-259,Pale Cobalt Blue Casting Brick,,,Gaffer Pale Cobalt Blue Casting Brick,"""blue""",,96,billet,https://ebbatchcolor.com/Gaffer-Casting-Colors/G-259-Pale-Cobalt-Blue/,,,
GAF,G-260,Emerald Green Casting Brick,,,Gaffer Emerald Green Casting Brick,"""green""",,96,billet,https://ebbatchcolor.com/Gaffer-Casting-Colors/G-260-Emerald-Green/,,,
GAF,G-261,Jade Green Casting Brick,,,Gaffer Jade Green Casting Brick,"""green""",,96,billet,https://ebbatchcolor.com/Gaffer-Casting-Colors/G-261-Jade-Green/,,,
GAF,G-262,Olive Green Casting Brick,,,Gaffer Olive Green Casting Brick,"""brown"", ""green""",,96,billet,https://ebbatchcolor.com/Gaffer-Casting-Colors/G-262-Olive-Green/,,,
GAF,G-263,Lime Green Casting Brick,,,Gaffer Lime Green Casting Brick,"""green"", ""yellow""",,96,billet,https://ebbatchcolor.com/Gaffer-Casting-Colors/G-263-Lime-Green/,,,
GAF,G-265,Citrine Casting Brick,,,Gaffer Citrine Casting Brick,"""unknown""",,96,billet,https://ebbatchcolor.com/Gaffer-Casting-Colors/G-265-Citrine/,,,
GAF,G-266,Pale Emerald Green Casting Brick,,,Gaffer Pale Emerald Green Casting Brick,"""green""",,96,billet,https://ebbatchcolor.com/Gaffer-Casting-Colors/G-266-Pale-Emerald-Green/,,,
GAF,G-267,Pale Jade Green Casting Brick,,,Gaffer Pale Jade Green Casting Brick,"""green""",,96,billet,https://ebbatchcolor.com/Gaffer-Casting-Colors/G-267-Pale-Jade-Green/,,,
GAF,G-268,Pale Olive Green Casting Brick,,,Gaffer Pale Olive Green Casting Brick,"""brown"", ""green""",,96,billet,https://ebbatchcolor.com/Gaffer-Casting-Colors/G-268-Pale-Olive-Green/,,,
GAF,G-269,Pale Lime Green Casting Brick,,,Gaffer Pale Lime Green Casting Brick,"""green"", ""yellow""",,96,billet,https://ebbatchcolor.com/Gaffer-Casting-Colors/G-269-Pale-Lime-Green/,,,
GAF,G-270,Lilac Casting Brick,,,Gaffer Lilac Casting Brick,"""pink"", ""purple""",,96,billet,https://ebbatchcolor.com/Gaffer-Casting-Colors/G-270-Lilac/,,,
GAF,G-272,Hyacinth Casting Brick,,,Gaffer Hyacinth Casting Brick,"""blue"", ""purple""",,96,billet,https://ebbatchcolor.com/Gaffer-Casting-Colors/G-272-Hyacinth/,,,
GAF,G-275,Purple Casting Brick,,,Gaffer Purple Casting Brick,"""purple""",,96,billet,https://ebbatchcolor.com/Gaffer-Casting-Colors/G-275-Purple/,,,
GAF,G-276,Gold Amethyst Casting Brick,,,Gaffer Gold Amethyst Casting Brick,"""purple"", ""yellow""",,96,billet,https://ebbatchcolor.com/Gaffer-Casting-Colors/G-276-Gold-Amethyst/,,,
GAF,G-278,Rhubarb Casting Brick,,,Gaffer Rhubarb Casting Brick,"""unknown""",,96,billet,https://ebbatchcolor.com/Gaffer-Casting-Colors/G-278-Rhubarb/,,,
GAF,G-279,Semillon Casting Brick,,,Gaffer Semillon Casting Brick,"""unknown""",,96,billet,https://ebbatchcolor.com/Gaffer-Casting-Colors/G-279-Semillon/,,,
GAF,G-280,Pink Casting Brick,,,Gaffer Pink Casting Brick,"""pink""",,96,billet,https://ebbatchcolor.com/Gaffer-Casting-Colors/G-280-Pink/,,,
GAF,G-282,Sapphire Rose Casting Brick,,,Gaffer Sapphire Rose Casting Brick,"""blue"", ""pink"", ""red""",,96,billet,https://ebbatchcolor.com/Gaffer-Casting-Colors/G-282-Sapphire-Rose/,,,
GAF,G-285,Fuchsia Casting Brick,,,Gaffer Fuchsia Casting Brick,"""unknown""",,96,billet,https://ebbatchcolor.com/Gaffer-Casting-Colors/G-285-Fuchsia/,,,
GAF,G-290,Black Casting Brick,,,Gaffer Black Casting Brick,"""black""",,96,billet,https://ebbatchcolor.com/Gaffer-Casting-Colors/G-290-Black/,,,
GAF,G-300,Opaline White Casting Brick,,,Gaffer Opaline White Casting Brick,"""white""",,96,billet,https://ebbatchcolor.com/Gaffer-Casting-Colors/G-300-Opaline-White/,,,
GAF,G-338,Uranium Green Casting Brick,,,Gaffer Uranium Green Casting Brick,"""green""",,96,billet,https://ebbatchcolor.com/Gaffer-Casting-Colors/G-338-Uranium-Green/,,,
